id,timestamp,test,file_size,download_mbps,upload_mbps,latency_ms,loaded_latency_ms,jitter_ms,server,status,error_msg
1,2026-06-08T22:49:17.735029+00:00,cloudflare_full,,,,,,,Cloudflare,error,All upload measurements failed.
5,2026-06-08T22:49:17.873938+00:00,cdn_hetzner,small,379.96,,,,,Hetzner,ok,
6,2026-06-08T22:49:17.884447+00:00,cdn_hetzner,medium,377.91,,,,,Hetzner,ok,
7,2026-06-08T22:49:17.895388+00:00,cdn_hetzner,large,385.71,,,,,Hetzner,ok,
8,2026-06-08T22:49:17.907230+00:00,cdn_ovh,small,63.51,,,,,OVH,ok,
9,2026-06-08T22:49:17.918271+00:00,cdn_ovh,medium,282.41,,,,,OVH,ok,
10,2026-06-08T22:49:17.929098+00:00,cdn_ovh,large,223.38,,,,,OVH,ok,
11,2026-06-08T22:49:17.939850+00:00,cdn_vultr,small,389.9,,,,,Vultr,ok,
12,2026-06-08T22:49:17.950608+00:00,cdn_vultr,medium,329.54,,,,,Vultr,ok,
13,2026-06-08T22:49:17.961684+00:00,cdn_vultr,large,396.09,,,,,Vultr,ok,
14,2026-06-08T22:58:25.985746+00:00,cloudflare_full,,,,,,,Cloudflare,error,All upload measurements failed.
18,2026-06-08T22:58:26.056676+00:00,cdn_hetzner,small,383.03,,,,,Hetzner,ok,
19,2026-06-08T22:58:26.067803+00:00,cdn_hetzner,medium,336.62,,,,,Hetzner,ok,
20,2026-06-08T22:58:26.080065+00:00,cdn_hetzner,large,330.12,,,,,Hetzner,ok,
21,2026-06-08T22:58:26.090719+00:00,cdn_ovh,small,69.05,,,,,OVH,ok,
22,2026-06-08T22:58:26.119187+00:00,cdn_ovh,medium,277.23,,,,,OVH,ok,
23,2026-06-08T22:58:26.129758+00:00,cdn_ovh,large,396.56,,,,,OVH,ok,
24,2026-06-08T22:58:26.140710+00:00,cdn_vultr,small,402.72,,,,,Vultr,ok,
25,2026-06-08T22:58:26.151003+00:00,cdn_vultr,medium,403.49,,,,,Vultr,ok,
26,2026-06-08T22:58:26.162096+00:00,cdn_vultr,large,401.91,,,,,Vultr,ok,
27,2026-06-08T23:01:24.957292+00:00,cloudflare_full,,,,,,,Cloudflare,error,All upload measurements failed.
31,2026-06-08T23:01:25.031918+00:00,cdn_hetzner,small,373.67,,,,,Hetzner,ok,
32,2026-06-08T23:01:25.042662+00:00,cdn_hetzner,medium,383.54,,,,,Hetzner,ok,
33,2026-06-08T23:01:25.053221+00:00,cdn_hetzner,large,379.16,,,,,Hetzner,ok,
34,2026-06-08T23:01:25.064000+00:00,cdn_ovh,small,61.44,,,,,OVH,ok,
35,2026-06-08T23:01:25.074740+00:00,cdn_ovh,medium,275.64,,,,,OVH,ok,
36,2026-06-08T23:01:25.086111+00:00,cdn_ovh,large,404.11,,,,,OVH,ok,
37,2026-06-08T23:01:25.096974+00:00,cdn_vultr,small,398.55,,,,,Vultr,ok,
38,2026-06-08T23:01:25.107710+00:00,cdn_vultr,medium,397.83,,,,,Vultr,ok,
39,2026-06-08T23:01:25.118569+00:00,cdn_vultr,large,402.14,,,,,Vultr,ok,
40,2026-06-08T23:06:00.159505+00:00,cloudflare_full,,,,,,,Cloudflare,error,All upload measurements failed.
44,2026-06-08T23:06:00.270228+00:00,cdn_hetzner,small,376.13,,,,,Hetzner,ok,
45,2026-06-08T23:06:00.281165+00:00,cdn_hetzner,medium,383.38,,,,,Hetzner,ok,
46,2026-06-08T23:06:00.291789+00:00,cdn_hetzner,large,386.2,,,,,Hetzner,ok,
47,2026-06-08T23:06:00.302822+00:00,cdn_ovh,small,64.15,,,,,OVH,ok,
48,2026-06-08T23:06:00.313823+00:00,cdn_ovh,medium,285.96,,,,,OVH,ok,
49,2026-06-08T23:06:00.324671+00:00,cdn_ovh,large,260.63,,,,,OVH,ok,
50,2026-06-08T23:06:00.335252+00:00,cdn_vultr,small,395.13,,,,,Vultr,ok,
51,2026-06-08T23:06:00.349938+00:00,cdn_vultr,medium,403.47,,,,,Vultr,ok,
52,2026-06-08T23:06:00.374909+00:00,cdn_vultr,large,402.79,,,,,Vultr,ok,
53,2026-06-08T23:12:00.082098+00:00,cloudflare_full,,,,,,,Cloudflare,error,All upload measurements failed.
57,2026-06-08T23:12:00.193349+00:00,cdn_hetzner,small,329.59,,,,,Hetzner,ok,
58,2026-06-08T23:12:00.204837+00:00,cdn_hetzner,medium,384.39,,,,,Hetzner,ok,
59,2026-06-08T23:12:00.216767+00:00,cdn_hetzner,large,376.27,,,,,Hetzner,ok,
60,2026-06-08T23:12:00.227942+00:00,cdn_ovh,small,70.15,,,,,OVH,ok,
